Position,"Track Name",Artist,Streams,URL
30,Boyfriend,"Dove Cameron",1824133,https://open.spotify.com/track/59CfNbkERJ3NoTXDvoURjj
31,"Light Switch","Charlie Puth",1785035,https://open.spotify.com/track/3AVXwaOGCEL8cmBecfcsFJ
32,"When You're Gone","Shawn Mendes",1766623,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
33,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1740257,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
34,Infinity,"Jaymes Young",1721030,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
35,"Another Love","Tom Odell",1683875,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
36,"In My Head","Lil Tjay",1675461,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
37,traitor,"Olivia Rodrigo",1658064,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
38,"Kiss Me More (feat. SZA)","Doja Cat",1649497,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
39,Yonaguni,"Bad Bunny",1645768,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
40,"Sweater Weather","The Neighbourhood",1629412,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
41,"Need to Know","Doja Cat",1609167,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
42,"Watermelon Sugar","Harry Styles",1605068,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
43,Chance,"Paulo Londra",1573233,https://open.spotify.com/track/2SJZdZ5DLtlRosJ2xHJJJa
44,"drivers license","Olivia Rodrigo",1553638,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
45,Dandelions,"Ruth B.",1531194,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
46,"I Love You So","The Walters",1528402,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
47,Jordan,"Ryan Castro",1497278,https://open.spotify.com/track/2rDZhKnPaPG054ExZ6nXUS
48,"Levitating (feat. DaBaby)","Dua Lipa",1485625,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
49,"Do It To It",ACRAZE,1481126,https://open.spotify.com/track/20on25jryn53hWghthWWW3
50,Pantysito,Alejo,1432729,https://open.spotify.com/track/4srcMdbm2qzVG98tJajHxp
51,"Save Your Tears","The Weeknd",1426977,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
52,"Wait a Minute!",WILLOW,1377412,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh
53,"Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd",1368981,https://open.spotify.com/track/1oFAF1hdPOickyHgbuRjyX
54,"Happier Than Ever","Billie Eilish",1359039,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
55,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita",1344177,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
56,"deja vu","Olivia Rodrigo",1343215,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
